trial_number,image1_filename,image2_filename,trial_type,pair_id,contrast_type,contrast_category,image1_id,image1_gender,image1_ethnicity,image1_age,image1_attractive,image1_dominant,image1_trustworthy,image1_luminance,image2_id,image2_gender,image2_ethnicity,image2_age,image2_attractive,image2_dominant,image2_trustworthy,image2_luminance,covariate_distance,age_diff,attractive_diff,dominant_diff,trustworthy_diff,luminance_diff
1,CFD-AF-220-107-N.jpg,CFD-AM-207-108-N.jpg,regular,Female_Asian_Male_Asian_v1,GenderOnly_Asian,gender,AF-220,Female,Asian,25.2608695652174,3.173913043,2.695652174,3.826086957,151.5,AM-207,Male,Asian,25.9166666666667,2.958333333,2.666666667,3.833333333,156.5,0.3473234299215161,0.6557971014492985,0.2155797100000001,0.028985507000000243,0.007246376000000332,5.0
2,CFD-AF-230-193-N.jpg,CFD-WF-015-006-N.jpg,regular,Female_Asian_Female_White_v1,EthnicityOnly_Asian_White,ethnicity,AF-230,Female,Asian,24.1481481481481,4.518518519,2.259259259,3.925925926,171.0,WF-015,Female,White,24.2111111111111,4.648351648,2.296296296,3.879120879,165.5,0.28193658483859724,0.06296296296300241,0.12983312900000055,0.03703703700000016,0.04680504700000032,5.5
3,CFD-WF-011-002-N.jpg,CFD-LF-235-219-N.jpg,regular,Female_White_Female_Latino_v1,EthnicityOnly_White_Latino,ethnicity,WF-011,Female,White,24.0416666666667,4.129032258,2.172413793,3.70212766,157.5,LF-235,Female,Latino,24.7307692307692,4.269230769,2.2,3.615384615,166.5,0.4297531624924412,0.6891025641025017,0.14019851100000036,0.02758620700000014,0.08674304499999996,9.0
4,CFD-LF-244-096-N.jpg,CFD-BF-207-004-N.jpg,regular,Female_Latino_Female_Black_v1,EthnicityOnly_Latino_Black,ethnicity,LF-244,Female,Latino,24.6153846153846,3.538461538,2.230769231,3.461538462,149.5,BF-207,Female,Black,22.6071428571429,3.814814815,2.407407407,3.285714286,138.5,0.7873434753436162,2.0082417582416987,0.2763532770000001,0.17663817599999998,0.1758241759999999,11.0
5,CFD-LM-250-077-N.jpg,CFD-WF-219-038-N.jpg,regular,Male_Latino_Female_White_v1,Intersectional_Male_Latino_Female_White,intersectional,LM-250,Male,Latino,22.6428571428571,3.892857143,2.928571429,3.321428571,161.0,WF-219,Female,White,24.6538461538462,3.884615385,3.153846154,3.269230769,166.0,0.5083306938483142,2.0109890109890998,0.008241758000000043,0.22527472500000023,0.05219780200000024,5.0
6,CFD-AM-246-184-N.jpg,CFD-WF-038-021-N.jpg,regular,Male_Asian_Female_White_v1,Intersectional_Male_Asian_Female_White,intersectional,AM-246,Male,Asian,29.0714285714286,3.074074074,2.607142857,3.75,156.0,WF-038,Female,White,28.7228260869565,3.315217391,2.538461538,3.739130435,151.0,0.3761869241513429,0.34860248447210296,0.24114331700000013,0.06868131899999996,0.010869565000000136,5.0
7,CFD-AM-228-214-N.jpg,CFD-LF-210-220-N.jpg,regular,Male_Asian_Female_Latino_v1,Intersectional_Male_Asian_Female_Latino,intersectional,AM-228,Male,Asian,25.3214285714286,3.428571429,2.678571429,3.464285714,170.0,LF-210,Female,Latino,24.8076923076923,3.307692308,2.769230769,3.423076923,177.5,0.35294043463250563,0.5137362637363019,0.12087912099999976,0.0906593400000002,0.041208790999999856,7.5
8,CFD-WM-207-048-N.jpg,CFD-BM-237-188-N.jpg,regular,Male_White_Male_Black_v1,EthnicityOnly_White_Black,ethnicity,WM-207,Male,White,26.5833333333333,4.125,3.625,3.333333333,147.0,BM-237,Male,Black,25.9615384615385,3.961538462,3.48,3.230769231,122.5,0.9265941102239162,0.6217948717948012,0.16346153799999996,0.14500000000000002,0.1025641020000001,24.5
9,CFD-BM-211-174-N.jpg,CFD-LM-213-061-N.jpg,regular,Male_Black_Male_Latino_v1,EthnicityOnly_Black_Latino,ethnicity,BM-211,Male,Black,31.5185185185185,2.692307692,3.481481481,3.37037037,129.0,LM-213,Male,Latino,30.2916666666667,3.083333333,3.47826087,3.333333333,131.5,0.5585303046620558,1.2268518518518015,0.39102564100000015,0.003220610999999707,0.03703703699999972,2.5
10,CFD-WF-037-029-N.jpg,CFD-WM-034-030-N.jpg,attention_original,Female_White_Male_White_v1,GenderOnly_White,gender,WF-037,Female,White,23.5,2.688172043,2.533333333,3.29787234,158.5,WM-034,Male,White,23.2209302325581,2.698795181,2.538461538,3.182926829,153.0,0.33806416726148963,0.27906976744190004,0.010623138000000143,0.005128205000000108,0.11494551100000017,5.5
