trial_id,trial_type,contrast_type,left_model,right_model,left_ethnicity,left_gender,right_ethnicity,right_gender,covariate_distance,is_attention_check,left_AgeRated,right_AgeRated,left_Attractive,right_Attractive,left_Trustworthy,right_Trustworthy,left_Dominant,right_Dominant,correct_choice,side_randomized,display_left_model,display_right_model,presentation_order,left_image_file,right_image_file
attention_2,attention_check,attention_check,BF-003,BM-013,B,F,B,M,,True,25.8089887640449,22.9775280898876,3.191011236,2.707865169,3.797752809,3.550561798,2.185185185,2.92,right,flipped,BM-013,BF-003,1,CFD-BM-013-002-N.jpg,CFD-BF-003-003-N.jpg
target_07,target,GenderOnly_B,BF-008,BM-001,B,F,B,M,1.4261882626053035,False,24.5747126436782,26.0851063829787,3.068965517,2.849462366,3.32183908,3.063829787,2.4,3.230769231,,original,BF-008,BM-001,2,CFD-BF-008-001-N.jpg,CFD-BM-001-014-N.jpg
target_33,target,EthnicityOnly_F_BvsW,BF-010,WF-013,B,F,W,F,1.2275147422026405,False,29.2,26.4239130434783,2.722222222,3.565217391,3.9,4.010869565,2.178571429,2.222222222,,original,BF-010,WF-013,3,CFD-BF-010-001-N.jpg,CFD-WF-013-003-N.jpg
target_18,target,EthnicityOnly_M_BvsW,BM-242,WM-254,B,M,W,M,1.0211124670523584,False,31.52,30.3076923076923,3.307692308,3.153846154,3.307692308,3.230769231,3.884615385,3.230769231,,flipped,WM-254,BM-242,4,CFD-WM-254-152-N.jpg,CFD-BM-242-233-N.jpg
target_55,target,Intersectional_FAvsMW,AF-215,WM-013,A,F,W,M,0.5215926211982178,False,30.4444444444444,32.3793103448276,2.814814815,2.755813953,3.37037037,3.209302326,2.555555556,2.64,,flipped,WM-013,AF-215,5,CFD-WM-013-001-N.jpg,CFD-AF-215-70-N.jpg
target_09,target,GenderOnly_L,LF-214,LM-213,L,F,L,M,1.0204118789803749,False,29.375,30.2916666666667,3.666666667,3.083333333,3.458333333,3.333333333,3.083333333,3.47826087,,flipped,LM-213,LF-214,6,CFD-LM-213-061-N.jpg,CFD-LF-214-090-N.jpg
target_50,target,Intersectional_FWvsMB,WF-215,BM-253,W,F,B,M,1.1147972684023244,False,30.64,31.875,3.28,2.958333333,2.96,3.0,2.36,3.043478261,,original,WF-215,BM-253,7,CFD-WF-215-145-N.jpg,CFD-BM-253-004-N.jpg
attention_1,attention_check,attention_check,WF-036,AM-252,W,F,A,M,,True,22.6444444444444,23.32,2.898876404,2.64,3.370786517,3.48,2.071428571,2.84,left,original,WF-036,AM-252,8,CFD-WF-036-023-N.jpg,CFD-AM-252-114-N.jpg
attention_3,attention_check,attention_check,BF-011,LF-215,B,F,L,F,,True,28.5851063829787,24.5666666666667,2.989247312,2.966666667,3.129032258,2.933333333,2.62962963,3.344827586,left,original,BF-011,LF-215,9,CFD-BF-011-002-N.jpg,CFD-LF-215-157-N.jpg
target_23,target,EthnicityOnly_F_AvsB,AF-212,BF-011,A,F,B,F,1.2852994249626744,False,23.8571428571429,28.5851063829787,2.607142857,2.989247312,3.037037037,3.129032258,2.035714286,2.62962963,,original,AF-212,BF-011,10,CFD-AF-212-097-N.jpg,CFD-BF-011-002-N.jpg
target_62,target,Intersectional_FBvsMW,BF-044,WM-218,B,F,W,M,1.4879062678929051,False,25.5744680851064,25.8214285714286,2.106382979,2.857142857,3.255319149,3.107142857,3.214285714,2.5,,original,BF-044,WM-218,11,CFD-BF-044-034-N.jpg,CFD-WM-218-074-N.jpg
target_47,target,Intersectional_FBvsMW,BF-027,WM-204,B,F,W,M,1.3733381282347428,False,38.0,35.1333333333333,3.0,3.2,3.706521739,3.266666667,3.038461538,3.5,,original,BF-027,WM-204,12,CFD-BF-027-002-N.jpg,CFD-WM-204-031-N.jpg
target_22,target,EthnicityOnly_F_BvsW,BF-201,WF-207,B,F,W,F,0.6350894319447479,False,27.4,24.875,4.16,4.458333333,3.84,3.958333333,2.36,2.375,,original,BF-201,WF-207,13,CFD-BF-201-080-N.jpg,CFD-WF-207-014-N.jpg
target_34,target,EthnicityOnly_F_AvsB,AF-253,BF-221,A,F,B,F,1.365730569822343,False,25.551724137931,27.0416666666667,4.535714286,4.64,4.068965517,3.88,1.827586207,2.68,,flipped,BF-221,AF-253,14,CFD-BF-221-223-N.jpg,CFD-AF-253-130-N.jpg
target_25,target,EthnicityOnly_F_LvsW,LF-226,WF-213,L,F,W,F,0.6357713566936479,False,25.3846153846154,25.6551724137931,3.5,3.24137931,2.807692308,3.0,3.04,2.862068966,,original,LF-226,WF-213,15,CFD-LF-226-174-N.jpg,CFD-WF-213-031-N.jpg
target_15,target,GenderOnly_W,WF-007,WM-031,W,F,W,M,1.1474010792217502,False,21.7978723404255,21.735632183908,2.892473118,3.045977011,3.776595745,3.390804598,2.5,2.928571429,,original,WF-007,WM-031,16,CFD-WF-007-001-N.jpg,CFD-WM-031-003-N.jpg
target_60,target,Intersectional_FAvsMW,AF-255,WM-207,A,F,W,M,1.0582395071968564,False,26.0,26.5833333333333,4.8,4.125,3.32,3.333333333,3.24,3.625,,original,AF-255,WM-207,17,CFD-AF-255-209-N.jpg,CFD-WM-207-048-N.jpg
target_12,target,GenderOnly_L,LF-214,LM-225,L,F,L,M,1.0055939542901695,False,29.375,24.7407407407407,3.666666667,3.407407407,3.458333333,3.518518519,3.083333333,2.703703704,,flipped,LM-225,LF-214,18,CFD-LM-225-130-N.jpg,CFD-LF-214-090-N.jpg
target_21,target,EthnicityOnly_M_AvsW,AM-237,WM-033,A,M,W,M,1.0114958292380005,False,29.44,26.5934065934066,3.269230769,3.846153846,3.423076923,3.582417582,2.615384615,2.814814815,,flipped,WM-033,AM-237,19,CFD-WM-033-025-N.jpg,CFD-AM-237-154-N.jpg
target_16,target,GenderOnly_W,WF-005,WM-024,W,F,W,M,1.1830436873067254,False,22.3932584269663,20.8170731707317,3.033707865,3.646341463,3.752808989,3.780487805,1.72,2.28,,original,WF-005,WM-024,20,CFD-WF-005-010-N.jpg,CFD-WM-024-015-N.jpg
target_05,target,GenderOnly_B,BF-246,BM-243,B,F,B,M,1.3260556580048424,False,38.6666666666667,41.125,2.851851852,3.12,3.076923077,3.56,3.703703704,3.92,,original,BF-246,BM-243,21,CFD-BF-246-170-N.jpg,CFD-BM-243-218-N.jpg
target_39,target,EthnicityOnly_M_BvsW,BM-041,WM-211,B,M,W,M,1.4288680209847555,False,30.4235294117647,27.7931034482759,3.261904762,3.464285714,3.69047619,3.172413793,3.0,2.689655172,,flipped,WM-211,BM-041,22,CFD-WM-211-054-N.jpg,CFD-BM-041-035-N.jpg
